SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes
Ensemble,TOTAL,2014,3056.1,5761.5,485.0999999999999,3145.9,1770.6,1285.5,4453.7,1307.8
I,Animaux vivants et produits du règne animal,2014,24.5,100.6,14.9,79.0,19.7,4.8,89.8,10.8
II,Produit du règne végétal,2014,226.1,1149.3,-43.29999999999998,44.5,91.4,134.7,596.9,552.4
III,Graisses et huiles animales ou végétales,2014,23.9,95.6,8.700000000000001,63.2,16.3,7.6,79.4,16.2
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2014,106.7,305.9,91.1,206.5,98.9,7.8,256.2,49.7
IX,"Bois, charbons de bois et ouvrages en bois",2014,4.7,69.6,4.7,69.4,4.7,0.0,69.5,0.1
V,Produits minéraux,2014,693.4,2309.9,542.4,2007.1,617.9,75.5,2158.5,151.4
VI,Produits des industries chimiques et connexes,2014,232.5,349.6,223.9,338.8,228.2,4.3,344.2,5.4
VII,Matières plastiques et ouvrages en ces matières,2014,65.7,65.5,60.1,62.3,62.9,2.8,63.9,1.6
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2014,2.4,3.0,0.0,1.6,1.2,1.2,2.3,0.7
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2014,24.0,30.8,23.6,30.6,23.8,0.2,30.7,0.1
XI,Matières textiles et ouvrages en ces matières,2014,264.0,346.3,-203.2,-235.7,30.4,233.6,55.3,291.0
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2014,7.6,23.8,7.4,15.2,7.5,0.1,19.5,4.3
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2014,16.5,85.3,14.9,73.7,15.7,0.8,79.5,5.8
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2014,722.8,2.1,-722.0,2.1,0.4,722.4,2.1,0.0
XIX,"Armes, munitions et leurs parties et accessoires",2014,2.2,0.4,2.2,0.4,2.2,0.0,0.4,0.0
XV,Métaux communs et ouvrages en ces métaux,2014,208.2,575.8,107.0,165.6,157.6,50.6,370.7,205.1
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2014,244.5,89.2,203.3,75.2,223.9,20.6,82.2,7.0
XVII,Matériel de transport,2014,150.4,132.9,118.8,122.1,134.6,15.8,127.5,5.4
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2014,16.5,2.6,14.1,2.4,15.3,1.2,2.5,0.1
XX,Marchandises et produits divers,2014,19.3,23.3,16.900000000000002,22.1,18.1,1.2,22.7,0.6
XXI,"Objets d'art, de collection ou d'antiquité",2014,0.2,0.1,-0.2,-0.1,0.0,0.2,0.0,0.1
Ensemble,TOTAL,2015,3126.4,6266.0,504.0,3722.6,1815.2,1311.2,4994.3,1271.7
I,Animaux vivants et produits du règne animal,2015,21.9,128.3,15.9,74.5,18.9,3.0,101.4,26.9
II,Produit du règne végétal,2015,300.9,1308.8,-95.70000000000002,114.79999999999995,102.6,198.3,711.8,597.0
III,Graisses et huiles animales ou végétales,2015,25.4,115.7,9.8,86.89999999999999,17.6,7.8,101.3,14.4
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2015,118.5,340.6,103.5,250.2,111.0,7.5,295.4,45.2
IX,"Bois, charbons de bois et ouvrages en bois",2015,4.6,70.5,4.4,67.69999999999999,4.5,0.1,69.1,1.4
V,Produits minéraux,2015,571.8,2653.7,524.8,2390.3,548.3,23.5,2522.0,131.7
VI,Produits des industries chimiques et connexes,2015,256.5,365.8,238.5,355.8,247.5,9.0,360.8,5.0
VII,Matières plastiques et ouvrages en ces matières,2015,61.2,67.2,57.8,61.8,59.5,1.7,64.5,2.7
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2015,1.2,3.5,0.6000000000000001,2.7,0.9,0.3,3.1,0.4
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2015,24.7,28.5,23.1,28.3,23.9,0.8,28.4,0.1
XI,Matières textiles et ouvrages en ces matières,2015,204.7,318.8,-154.9,-200.40000000000003,24.9,179.8,59.2,259.6
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2015,3.9,21.4,3.7,13.8,3.8,0.1,17.6,3.8
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2015,14.1,84.7,13.3,74.89999999999999,13.7,0.4,79.8,4.9
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2015,795.8,1.7,-795.2,1.7,0.3,795.5,1.7,0.0
XIX,"Armes, munitions et leurs parties et accessoires",2015,2.4,0.5,2.2,0.5,2.3,0.1,0.5,0.0
XV,Métaux communs et ouvrages en ces métaux,2015,184.1,493.9,103.29999999999998,158.5,143.7,40.4,326.2,167.7
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2015,294.3,90.6,252.7,79.0,273.5,20.8,84.8,5.8
XVII,Matériel de transport,2015,202.0,148.9,162.8,140.1,182.4,19.6,144.5,4.4
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2015,21.0,2.1,19.6,2.1,20.3,0.7,2.1,0.0
XX,Marchandises et produits divers,2015,17.400000000000002,21.1,14.2,19.7,15.8,1.6,20.4,0.7
XXI,"Objets d'art, de collection ou d'antiquité",2015,0.3,0.1,-0.3,-0.1,0.0,0.3,0.0,0.1
Ensemble,TOTAL,2016,3483.8,7737.0,485.2000000000001,3211.6000000000004,1984.5,1499.3,5474.3,2262.7
I,Animaux vivants et produits du règne animal,2016,19.8,98.7,15.8,90.7,17.8,2.0,94.7,4.0
II,Produit du règne végétal,2016,292.4,2261.6,-56.6,-696.8000000000001,117.9,174.5,782.4,1479.2
III,Graisses et huiles animales ou végétales,2016,35.1,96.1,16.5,61.1,25.8,9.3,78.6,17.5
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2016,121.6,432.9,105.4,120.70000000000002,113.5,8.1,276.8,156.1
IX,"Bois, charbons de bois et ouvrages en bois",2016,4.7,52.7,4.3,42.3,4.5,0.2,47.5,5.2
V,Produits minéraux,2016,483.7,2801.1,466.9,2689.3,475.3,8.4,2745.2,55.9
VI,Produits des industries chimiques et connexes,2016,316.5,461.2,288.5,447.4,302.5,14.0,454.3,6.9
VII,Matières plastiques et ouvrages en ces matières,2016,78.5,77.89999999999999,68.69999999999999,70.3,73.6,4.9,74.1,3.8
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2016,2.5,3.5,-0.1,2.9000000000000004,1.2,1.3,3.2,0.3
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2016,27.6,33.400000000000006,27.2,33.0,27.4,0.2,33.2,0.2
XI,Matières textiles et ouvrages en ces matières,2016,317.2,425.8,-193.8,-235.40000000000003,61.7,255.5,95.2,330.6
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2016,8.3,69.0,8.3,66.6,8.3,0.0,67.8,1.2
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2016,14.1,82.5,13.9,78.5,14.0,0.1,80.5,2.0
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2016,922.4,1.1,-922.0,1.1,0.2,922.2,1.1,0.0
XIX,"Armes, munitions et leurs parties et accessoires",2016,4.8,0.5,3.8,0.5,4.3,0.5,0.5,0.0
XV,Métaux communs et ouvrages en ces métaux,2016,230.9,586.8,108.3,206.8,169.6,61.3,396.8,190.0
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2016,382.7,119.3,347.7,108.3,365.2,17.5,113.8,5.5
XVII,Matériel de transport,2016,175.10000000000002,141.7,140.5,134.3,157.8,17.3,138.0,3.7
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2016,21.7,2.7,20.9,2.7,21.3,0.4,2.7,0.0
XX,Marchandises et produits divers,2016,23.6,27.1,21.2,26.5,22.4,1.2,26.8,0.3
XXI,"Objets d'art, de collection ou d'antiquité",2016,0.2,0.1,-0.2,-0.1,0.0,0.2,0.0,0.1
Ensemble,TOTAL,2017,3979.1,7398.3,600.2999999999997,4907.7,2289.7,1689.4,6153.0,1245.3
I,Animaux vivants et produits du règne animal,2017,22.1,121.1,17.3,114.7,19.7,2.4,117.9,3.2
II,Produit du règne végétal,2017,333.5,1485.3000000000002,-76.69999999999999,225.9,128.4,205.1,855.6,629.7
III,Graisses et huiles animales ou végétales,2017,30.8,87.4,6.6,52.0,18.7,12.1,69.7,17.7
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2017,125.1,345.1,105.3,188.5,115.2,9.9,266.8,78.3
IX,"Bois, charbons de bois et ouvrages en bois",2017,4.6,32.2,4.4,30.8,4.5,0.1,31.5,0.7
V,Produits minéraux,2017,644.6,3299.3,627.8000000000001,3226.5,636.2,8.4,3262.9,36.4
VI,Produits des industries chimiques et connexes,2017,267.9,438.8,259.1,421.6,263.5,4.4,430.2,8.6
VII,Matières plastiques et ouvrages en ces matières,2017,77.9,81.8,72.1,75.39999999999999,75.0,2.9,78.6,3.2
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2017,0.8,3.2,0.8,3.2,0.8,0.0,3.2,0.0
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2017,26.9,33.2,26.7,33.2,26.8,0.1,33.2,0.0
XI,Matières textiles et ouvrages en ces matières,2017,252.2,384.2,-182.6,-115.0,34.8,217.4,134.6,249.6
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2017,5.8,27.4,5.8,25.6,5.8,0.0,26.5,0.9
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2017,17.0,102.2,16.4,94.2,16.7,0.3,98.2,4.0
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2017,1088.7,1.8,-1088.1,1.6,0.3,1088.4,1.7,0.1
XIX,"Armes, munitions et leurs parties et accessoires",2017,3.5,0.3,3.3,0.3,3.4,0.1,0.3,0.0
XV,Métaux communs et ouvrages en ces métaux,2017,288.5,569.5,84.30000000000001,170.70000000000002,186.4,102.1,370.1,199.4
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2017,521.4,163.7,481.8,147.3,501.6,19.8,155.5,8.2
XVII,Matériel de transport,2017,220.4,182.3,194.2,172.5,207.3,13.1,177.4,4.9
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2017,22.7,3.9,20.3,3.9,21.5,1.2,3.9,0.0
XX,Marchandises et produits divers,2017,22.8,35.6,19.8,34.800000000000004,21.3,1.5,35.2,0.4
XXI,"Objets d'art, de collection ou d'antiquité",2017,0.3,0.1,-0.3,-0.1,0.0,0.3,0.0,0.1
Ensemble,TOTAL,2018,4259.1,7462.1,627.2999999999997,5265.299999999999,2443.2,1815.9,6363.7,1098.4
I,Animaux vivants et produits du règne animal,2018,25.3,136.70000000000002,22.9,129.1,24.1,1.2,132.9,3.8
II,Produit du règne végétal,2018,382.7,1476.3,-98.3,519.3,142.2,240.5,997.8,478.5
III,Graisses et huiles animales ou végétales,2018,34.9,126.3,6.899999999999999,76.89999999999999,20.9,14.0,101.6,24.7
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2018,124.0,376.7,105.0,224.7,114.5,9.5,300.7,76.0
IX,"Bois, charbons de bois et ouvrages en bois",2018,4.1,42.3,3.9,41.7,4.0,0.1,42.0,0.3
V,Produits minéraux,2018,752.6,3246.2,721.1999999999999,3135.0,736.9,15.7,3190.6,55.6
VI,Produits des industries chimiques et connexes,2018,330.6,480.1,305.6,458.3,318.1,12.5,469.2,10.9
VII,Matières plastiques et ouvrages en ces matières,2018,96.8,100.2,92.0,93.8,94.4,2.4,97.0,3.2
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2018,3.2,4.9,2.8,4.3,3.0,0.2,4.6,0.3
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2018,31.0,38.2,30.6,37.4,30.8,0.2,37.8,0.4
XI,Matières textiles et ouvrages en ces matières,2018,211.1,316.6,-149.1,-84.2,31.0,180.1,116.2,200.4
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2018,6.6,26.1,6.6,25.7,6.6,0.0,25.9,0.2
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2018,17.7,116.7,17.3,112.5,17.5,0.2,114.6,2.1
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2018,1192.8000000000002,1.4,-1192.0,1.2,0.4,1192.4,1.3,0.1
XIX,"Armes, munitions et leurs parties et accessoires",2018,7.1000000000000005,0.4,6.7,0.4,6.9,0.2,0.4,0.0
XV,Métaux communs et ouvrages en ces métaux,2018,309.9,584.1,79.1,125.5,194.5,115.4,354.8,229.3
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2018,448.0,161.0,406.8,143.8,427.4,20.6,152.4,8.6
XVII,Matériel de transport,2018,225.3,186.0,208.7,178.8,217.0,8.3,182.4,3.6
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2018,28.4,3.3,27.2,3.3,27.8,0.6,3.3,0.0
XX,Marchandises et produits divers,2018,26.6,38.8,24.2,38.0,25.4,1.2,38.4,0.4
XXI,"Objets d'art, de collection ou d'antiquité",2018,0.4,0.2,-0.4,0.0,0.0,0.4,0.1,0.1
Ensemble,TOTAL,2019,4406.3,7113.4,584.8999999999999,4650.6,2495.6,1910.7,5882.0,1231.4
I,Animaux vivants et produits du règne animal,2019,26.700000000000003,152.3,25.5,148.7,26.1,0.6,150.5,1.8
II,Produit du règne végétal,2019,286.79999999999995,1313.4,-33.599999999999994,477.6,126.6,160.2,895.5,417.9
III,Graisses et huiles animales ou végétales,2019,35.5,63.3,-5.899999999999999,16.7,14.8,20.7,40.0,23.3
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2019,114.8,258.5,96.8,160.5,105.8,9.0,209.5,49.0
IX,"Bois, charbons de bois et ouvrages en bois",2019,4.0,35.2,4.0,35.2,4.0,0.0,35.2,0.0
V,Produits minéraux,2019,782.8000000000001,3172.3,749.4,2719.5,766.1,16.7,2945.9,226.4
VI,Produits des industries chimiques et connexes,2019,286.0,397.7,270.0,366.1,278.0,8.0,381.9,15.8
VII,Matières plastiques et ouvrages en ces matières,2019,92.4,101.5,87.2,96.3,89.8,2.6,98.9,2.6
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2019,1.8,7.3,1.6,7.3,1.7,0.1,7.3,0.0
