SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes,year_normalized,years_since_start,economic_period,is_covid_period,balance_commerciale_fcfa,balance_commerciale_tonnes,taux_couverture,ratio_prod_conso_fcfa,ratio_prod_imports,intensite_export,prix_unitaire_production,prix_unitaire_imports,prix_unitaire_exports,total_production_fcfa,total_production_tonnes,part_marche_production,indice_specialisation,valeur_ajoutee_estimee,demande_interieure,taux_autosuffisance,production_fcfa_lag1,production_fcfa_lag2,production_tonnes_lag1,production_tonnes_lag2,imports_fcfa_lag1,imports_fcfa_lag2,exports_fcfa_lag1,exports_fcfa_lag2,production_fcfa_growth,production_tonnes_growth,imports_fcfa_growth,exports_fcfa_growth,production_fcfa_ma3,production_tonnes_ma3,imports_fcfa_ma3,exports_fcfa_ma3,production_trend,sector_encoded,period_encoded,sector_size_category,sector_size_encoded
I,Animaux vivants et produits du règne animal,2014,24.5,100.6,14.9,79.0,19.7,4.8,89.8,10.8,0.0,0,pre_2017,0,-14.899999999999999,-79.0,24.36548223350254,1.6442953020134228,1.2436548223350254,19.591836734693878,0.24353876739562624,0.21937639198218262,0.4444444444444444,3056.1,5761.5,0.8016753378488924,126.74386459704866,0.2250680524622618,39.400000000000006,62.18274111675126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,100.6,19.7,4.8,2.416363636363636,0,3,small,2
I,Animaux vivants et produits du règne animal,2015,21.9,128.3,15.9,74.5,18.9,3.0,101.4,26.9,0.1111111111111111,1,pre_2017,0,-15.899999999999999,-74.5,15.873015873015875,1.3773584905660377,1.1587301587301588,13.698630136986303,0.1706936866718628,0.18639053254437868,0.11152416356877325,3126.4,6266.0,0.7004861821903786,110.74598610687892,-0.07486636897560543,37.8,57.936507936507944,24.5,0.0,100.6,0.0,19.7,0.0,4.8,0.0,-10.612244897959188,27.534791252485107,-4.0609137055837605,-37.5,23.2,114.45,19.299999999999997,3.9,2.416363636363636,0,3,small,2
I,Animaux vivants et produits du règne animal,2016,19.8,98.7,15.8,90.7,17.8,2.0,94.7,4.0,0.2222222222222222,2,pre_2017,0,-15.8,-90.7,11.235955056179774,1.2531645569620253,1.1123595505617978,10.1010101010101,0.2006079027355623,0.1879619852164731,0.5,3483.8,7737.0,0.568344910729663,89.85461696156084,0.3120380147835269,35.6,55.61797752808989,21.9,24.5,128.3,100.6,18.9,19.7,3.0,4.8,-9.589041095890401,-23.070927513639912,-5.82010582010581,-33.33333333333333,22.066666666666666,109.2,18.8,3.266666666666667,2.416363636363636,0,3,small,2
I,Animaux vivants et produits du règne animal,2017,22.1,121.1,17.3,114.7,19.7,2.4,117.9,3.2,0.3333333333333333,3,2017_2019,0,-17.3,-114.7,12.18274111675127,1.277456647398844,1.1218274111675128,10.859728506787329,0.18249380677126345,0.1670907548770144,0.7499999999999999,3979.1,7398.3,0.5554019753210525,87.8083551203035,0.5829092451229855,39.4,56.091370558375644,19.8,21.9,98.7,128.3,17.8,18.9,2.0,3.0,11.61616161616162,22.695035460992898,10.674157303370778,19.999999999999996,21.266666666666666,116.03333333333335,18.8,2.466666666666667,2.416363636363636,0,0,small,2
I,Animaux vivants et produits du règne animal,2018,25.3,136.70000000000002,22.9,129.1,24.1,1.2,132.9,3.8,0.4444444444444444,4,2017_2019,0,-22.900000000000002,-129.1,4.979253112033195,1.1048034934497817,1.049792531120332,4.743083003952568,0.1850768105340161,0.18133935289691497,0.3157894736842105,4259.1,7462.1,0.5940222112652908,93.9141659443671,0.13445012078729554,48.2,52.4896265560166,22.1,19.8,121.1,98.7,19.7,17.8,2.4,2.0,14.47963800904977,12.881915772089203,22.335025380710672,-50.0,22.400000000000002,118.83333333333333,20.53333333333333,1.8666666666666665,2.416363636363636,0,0,small,2
I,Animaux vivants et produits du règne animal,2019,26.700000000000003,152.3,25.5,148.7,26.1,0.6,150.5,1.8,0.5555555555555556,5,2017_2019,0,-25.5,-148.7,2.298850574712643,1.0470588235294118,1.0229885057471264,2.2471910112359548,0.175311884438608,0.173421926910299,0.3333333333333333,4406.3,7113.4,0.605950570773665,95.80002460936107,0.1599114064230343,52.2,51.14942528735632,25.3,22.1,136.70000000000002,121.1,24.1,19.7,1.2,2.4,5.533596837944672,11.411850768105335,8.29875518672199,-50.0,24.700000000000003,136.70000000000002,23.3,1.4000000000000001,2.416363636363636,0,0,small,2
I,Animaux vivants et produits du règne animal,2020,28.5,176.3,27.3,173.7,27.9,0.6,175.0,1.3,0.6666666666666666,6,2020_2021,1,-27.299999999999997,-173.7,2.1505376344086025,1.043956043956044,1.021505376344086,2.1052631578947367,0.16165626772546793,0.15942857142857142,0.4615384615384615,4923.6,8625.5,0.578844747745552,91.5146280136705,0.3021098901098901,55.8,51.075268817204304,26.700000000000003,25.3,152.3,136.70000000000002,26.1,24.1,0.6,1.2,6.741573033707854,15.758371634931056,6.89655172413792,0.0,26.833333333333332,155.1,26.03333333333333,0.7999999999999999,2.416363636363636,0,1,small,2
I,Animaux vivants et produits du règne animal,2021,30.5,193.6,28.5,190.4,29.5,1.0,192.0,1.6,0.7777777777777778,7,2020_2021,1,-28.5,-190.4,3.389830508474576,1.0701754385964912,1.0338983050847457,3.278688524590164,0.1575413223140496,0.15364583333333334,0.625,5418.6,9230.5,0.5628760196360683,88.98999214458384,0.47135416666666663,59.0,51.69491525423729,28.5,26.700000000000003,176.3,152.3,27.9,26.1,0.6,0.6,7.017543859649122,9.812819058423132,5.734767025089611,66.66666666666667,28.566666666666666,174.0666666666667,27.833333333333332,0.7333333333333334,2.416363636363636,0,1,small,2
I,Animaux vivants et produits du règne animal,2022,36.9,198.6,34.9,192.8,35.9,1.0,195.7,2.9,0.8888888888888888,8,post_2021,0,-34.9,-192.79999999999998,2.785515320334262,1.0573065902578798,1.0278551532033426,2.710027100271003,0.18580060422960726,0.18344404701073072,0.3448275862068966,6364.8,10285.6,0.5797511312217194,91.65792610349901,0.16138353919616585,71.8,51.392757660167135,30.5,28.5,193.6,176.3,29.5,27.9,1.0,0.6,20.983606557377044,2.5826446280991737,21.694915254237284,0.0,31.96666666666667,189.5,31.099999999999998,0.8666666666666666,2.416363636363636,0,2,small,2
I,Animaux vivants et produits du règne animal,2023,48.9,202.0,41.1,194.2,45.0,3.9,198.1,3.9,1.0,9,post_2021,0,-41.1,-194.2,8.666666666666668,1.1897810218978102,1.0866666666666667,7.975460122699387,0.24207920792079207,0.22715800100959113,1.0,6286.9,11284.7,0.7778078226152795,122.97044039872658,0.7728419989904088,90.0,54.333333333333336,36.9,30.5,198.6,193.6,35.9,29.5,1.0,1.0,32.52032520325203,1.7119838872104762,25.348189415041787,290.0,38.766666666666666,198.0666666666667,36.800000000000004,1.9666666666666668,2.416363636363636,0,2,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2014,2.2,0.4,2.2,0.4,2.2,0.0,0.4,0.0,0.0,0,pre_2017,0,-2.2,-0.4,0.0,1.0,1.0,0.0,5.5,5.5,0.0,3056.1,5761.5,0.07198717319459443,100.49291520732899,-5.5,4.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.4,2.2,0.0,-0.24484848484848487,1,3,small,2
