SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes
Ensemble,TOTAL,2014,3056.1,5761.5,485.0999999999999,3145.9
I,Animaux vivants et produits du règne animal,2014,24.5,100.6,14.9,79.0
II,Produit du règne végétal,2014,226.1,1149.3,-43.29999999999998,44.5
III,Graisses et huiles animales ou végétales,2014,23.9,95.6,8.700000000000001,63.2
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2014,106.7,305.9,91.1,206.5
IX,"Bois, charbons de bois et ouvrages en bois",2014,4.7,69.6,4.7,69.4
V,Produits minéraux,2014,693.4,2309.9,542.4,2007.1
VI,Produits des industries chimiques et connexes,2014,232.5,349.6,223.9,338.8
VII,Matières plastiques et ouvrages en ces matières,2014,65.7,65.5,60.1,62.3
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2014,2.4,3.0,0.0,1.6
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2014,24.0,30.8,23.6,30.6
XI,Matières textiles et ouvrages en ces matières,2014,264.0,346.3,-203.2,-235.7
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2014,7.6,23.8,7.4,15.2
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2014,16.5,85.3,14.9,73.7
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2014,722.8,2.1,-722.0,2.1
XIX,"Armes, munitions et leurs parties et accessoires",2014,2.2,0.4,2.2,0.4
XV,Métaux communs et ouvrages en ces métaux,2014,208.2,575.8,107.0,165.6
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2014,244.5,89.2,203.3,75.2
XVII,Matériel de transport,2014,150.4,132.9,118.8,122.1
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2014,16.5,2.6,14.1,2.4
XX,Marchandises et produits divers,2014,19.3,23.3,16.900000000000002,22.1
XXI,"Objets d'art, de collection ou d'antiquité",2014,0.2,0.1,-0.2,-0.1
Ensemble,TOTAL,2015,3126.4,6266.0,504.0,3722.6
I,Animaux vivants et produits du règne animal,2015,21.9,128.3,15.9,74.5
II,Produit du règne végétal,2015,300.9,1308.8,-95.70000000000002,114.79999999999995
III,Graisses et huiles animales ou végétales,2015,25.4,115.7,9.8,86.89999999999999
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2015,118.5,340.6,103.5,250.2
IX,"Bois, charbons de bois et ouvrages en bois",2015,4.6,70.5,4.4,67.69999999999999
V,Produits minéraux,2015,571.8,2653.7,524.8,2390.3
VI,Produits des industries chimiques et connexes,2015,256.5,365.8,238.5,355.8
VII,Matières plastiques et ouvrages en ces matières,2015,61.2,67.2,57.8,61.8
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2015,1.2,3.5,0.6000000000000001,2.7
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2015,24.7,28.5,23.1,28.3
XI,Matières textiles et ouvrages en ces matières,2015,204.7,318.8,-154.9,-200.40000000000003
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2015,3.9,21.4,3.7,13.8
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2015,14.1,84.7,13.3,74.89999999999999
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2015,795.8,1.7,-795.2,1.7
XIX,"Armes, munitions et leurs parties et accessoires",2015,2.4,0.5,2.2,0.5
XV,Métaux communs et ouvrages en ces métaux,2015,184.1,493.9,103.29999999999998,158.5
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2015,294.3,90.6,252.7,79.0
XVII,Matériel de transport,2015,202.0,148.9,162.8,140.1
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2015,21.0,2.1,19.6,2.1
XX,Marchandises et produits divers,2015,17.400000000000002,21.1,14.2,19.7
XXI,"Objets d'art, de collection ou d'antiquité",2015,0.3,0.1,-0.3,-0.1
Ensemble,TOTAL,2016,3483.8,7737.0,485.2000000000001,3211.6000000000004
I,Animaux vivants et produits du règne animal,2016,19.8,98.7,15.8,90.7
II,Produit du règne végétal,2016,292.4,2261.6,-56.6,-696.8000000000001
III,Graisses et huiles animales ou végétales,2016,35.1,96.1,16.5,61.1
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2016,121.6,432.9,105.4,120.70000000000002
IX,"Bois, charbons de bois et ouvrages en bois",2016,4.7,52.7,4.3,42.3
V,Produits minéraux,2016,483.7,2801.1,466.9,2689.3
VI,Produits des industries chimiques et connexes,2016,316.5,461.2,288.5,447.4
VII,Matières plastiques et ouvrages en ces matières,2016,78.5,77.89999999999999,68.69999999999999,70.3
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2016,2.5,3.5,-0.1,2.9000000000000004
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2016,27.6,33.400000000000006,27.2,33.0
XI,Matières textiles et ouvrages en ces matières,2016,317.2,425.8,-193.8,-235.40000000000003
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2016,8.3,69.0,8.3,66.6
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2016,14.1,82.5,13.9,78.5
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2016,922.4,1.1,-922.0,1.1
XIX,"Armes, munitions et leurs parties et accessoires",2016,4.8,0.5,3.8,0.5
XV,Métaux communs et ouvrages en ces métaux,2016,230.9,586.8,108.3,206.8
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2016,382.7,119.3,347.7,108.3
XVII,Matériel de transport,2016,175.10000000000002,141.7,140.5,134.3
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2016,21.7,2.7,20.9,2.7
XX,Marchandises et produits divers,2016,23.6,27.1,21.2,26.5
XXI,"Objets d'art, de collection ou d'antiquité",2016,0.2,0.1,-0.2,-0.1
Ensemble,TOTAL,2017,3979.1,7398.3,600.2999999999997,4907.7
I,Animaux vivants et produits du règne animal,2017,22.1,121.1,17.3,114.7
II,Produit du règne végétal,2017,333.5,1485.3000000000002,-76.69999999999999,225.9
III,Graisses et huiles animales ou végétales,2017,30.8,87.4,6.6,52.0
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2017,125.1,345.1,105.3,188.5
IX,"Bois, charbons de bois et ouvrages en bois",2017,4.6,32.2,4.4,30.8
V,Produits minéraux,2017,644.6,3299.3,627.8000000000001,3226.5
VI,Produits des industries chimiques et connexes,2017,267.9,438.8,259.1,421.6
