SH,LIBELLES,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ensemble,TOTAL,485.0999999999999,504.0,485.20000000000005,600.2999999999997,627.2999999999997,584.8999999999999,-112.40000000000009,-193.5999999999999,681.0,866.7000000000003
I,Animaux vivants et produits du règne animal,14.899999999999999,15.899999999999999,15.8,17.3,22.900000000000002,25.5,27.299999999999997,28.5,34.9,41.1
II,Produit du règne végétal,-43.29999999999998,-95.70000000000002,-56.599999999999994,-76.69999999999999,-98.30000000000001,-33.599999999999994,-18.500000000000014,-33.79999999999998,-0.8000000000000114,-2.4000000000000057
III,Graisses et huiles animales ou végétales,8.700000000000001,9.8,16.5,6.6,6.899999999999999,-5.899999999999999,-5.899999999999999,-5.900000000000002,-3.1000000000000014,9.899999999999999
IV,"Produits des industries alimentaires : boissons, alcool, etc.",91.10000000000001,103.5,105.4,105.3,105.0,96.8,109.8,131.4,128.7,135.70000000000002
IX,"Bois, charbons de bois et ouvrages en bois",4.7,4.4,4.3,4.4,3.9,4.0,5.1000000000000005,5.300000000000001,7.7,9.7
V,Produits minéraux,542.4,524.8,466.90000000000003,627.8000000000001,721.1999999999999,749.4,667.9000000000001,761.0,1325.2,1486.9
VI,Produits des industries chimiques et connexes,223.89999999999998,238.5,288.5,259.1,305.6,270.0,302.7,297.1,420.0,401.0
VII,Matières plastiques et ouvrages en ces matières,60.1,57.8,68.69999999999999,72.1,92.0,87.2,88.39999999999999,102.5,115.10000000000001,97.5
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",0.0,0.6000000000000001,-0.10000000000000009,0.8,2.8,1.5999999999999999,2.6,3.6999999999999997,5.0,3.9999999999999996
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,23.6,23.099999999999998,27.2,26.7,30.6,29.2,30.2,39.7,47.6,35.9
XI,Matières textiles et ouvrages en ces matières,-203.2,-154.9,-193.8,-182.60000000000002,-149.1,-157.3,-103.80000000000001,-207.5,-241.1,-119.70000000000002
XII,"Chaussures, coiffures, parapluie, cannes, etc.",7.4,3.6999999999999997,8.3,5.8,6.6,5.9,5.3,7.1000000000000005,7.2,8.200000000000001
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",14.899999999999999,13.299999999999999,13.9,16.4,17.3,22.4,25.7,29.0,35.699999999999996,36.8
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",-722.0,-795.2,-922.0,-1088.1000000000001,-1192.0,-1330.7,-2054.2999999999997,-2175.4,-2101.4,-2132.7
XIX,"Armes, munitions et leurs parties et accessoires",2.2,2.1999999999999997,3.8,3.3,6.7,1.7000000000000002,1.9,1.8,0.7000000000000001,1.5
XV,Métaux communs et ouvrages en ces métaux,107.0,103.29999999999998,108.3,84.30000000000001,79.1,101.70000000000002,172.3,197.10000000000002,263.0,224.0
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",203.3,252.7,347.7,481.8,406.79999999999995,441.8,386.90000000000003,373.09999999999997,399.9,394.5
XVII,Matériel de transport,118.8,162.8,140.5,194.20000000000002,208.7,232.3,183.4,192.4,172.89999999999998,161.9
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",14.100000000000001,19.6,20.900000000000002,20.3,27.2,24.6,39.9,30.099999999999998,36.3,29.2
XX,Marchandises et produits divers,16.900000000000002,14.200000000000001,21.2,19.8,24.2,18.6,20.9,29.4,27.3,25.9
XXI,"Objets d'art, de collection ou d'antiquité",-0.2,-0.3,-0.2,-0.3,-0.4,-0.3,-0.2,-0.2,0.0,0.0
