year,sector,imports,exports
2014,TOTAL,1770.6,1285.5
2015,TOTAL,1815.2,1311.2
2016,TOTAL,1984.5,1499.3
2017,TOTAL,2289.7,1689.4
2018,TOTAL,2443.2,1815.9
2019,TOTAL,2495.6,1910.7
2020,TOTAL,2405.6,2518.0
2021,TOTAL,2612.5,2806.1
2022,TOTAL,3522.9,2841.9
2023,TOTAL,3576.8,2710.1
2014,Animaux vivants et produits du règne animal,19.7,4.8
2015,Animaux vivants et produits du règne animal,18.9,3.0
2016,Animaux vivants et produits du règne animal,17.8,2.0
2017,Animaux vivants et produits du règne animal,19.7,2.4
2018,Animaux vivants et produits du règne animal,24.1,1.2
2019,Animaux vivants et produits du règne animal,26.1,0.6
2020,Animaux vivants et produits du règne animal,27.9,0.6
2021,Animaux vivants et produits du règne animal,29.5,1.0
2022,Animaux vivants et produits du règne animal,35.9,1.0
2023,Animaux vivants et produits du règne animal,45.0,3.9
2014,Produit du règne végétal,91.4,134.7
2015,Produit du règne végétal,102.6,198.3
2016,Produit du règne végétal,117.9,174.5
2017,Produit du règne végétal,128.4,205.1
2018,Produit du règne végétal,142.2,240.5
2019,Produit du règne végétal,126.6,160.2
2020,Produit du règne végétal,121.8,140.3
2021,Produit du règne végétal,117.9,151.7
2022,Produit du règne végétal,196.2,197.0
2023,Produit du règne végétal,182.1,184.5
2014,Graisses et huiles animales ou végétales,16.3,7.6
2015,Graisses et huiles animales ou végétales,17.6,7.8
2016,Graisses et huiles animales ou végétales,25.8,9.3
2017,Graisses et huiles animales ou végétales,18.7,12.1
2018,Graisses et huiles animales ou végétales,20.9,14.0
2019,Graisses et huiles animales ou végétales,14.8,20.7
2020,Graisses et huiles animales ou végétales,14.8,20.7
2021,Graisses et huiles animales ou végétales,12.2,18.1
2022,Graisses et huiles animales ou végétales,16.4,19.5
2023,Graisses et huiles animales ou végétales,27.2,17.3
2014,"Produits des industries alimentaires : boissons, alcool, etc.",98.9,7.8
2015,"Produits des industries alimentaires : boissons, alcool, etc.",111.0,7.5
2016,"Produits des industries alimentaires : boissons, alcool, etc.",113.5,8.1
2017,"Produits des industries alimentaires : boissons, alcool, etc.",115.2,9.9
2018,"Produits des industries alimentaires : boissons, alcool, etc.",114.5,9.5
2019,"Produits des industries alimentaires : boissons, alcool, etc.",105.8,9.0
2020,"Produits des industries alimentaires : boissons, alcool, etc.",120.1,10.3
2021,"Produits des industries alimentaires : boissons, alcool, etc.",150.5,19.1
2022,"Produits des industries alimentaires : boissons, alcool, etc.",150.6,21.9
2023,"Produits des industries alimentaires : boissons, alcool, etc.",159.4,23.7
2014,"Bois, charbons de bois et ouvrages en bois",4.7,0.0
2015,"Bois, charbons de bois et ouvrages en bois",4.5,0.1
2016,"Bois, charbons de bois et ouvrages en bois",4.5,0.2
2017,"Bois, charbons de bois et ouvrages en bois",4.5,0.1
2018,"Bois, charbons de bois et ouvrages en bois",4.0,0.1
2019,"Bois, charbons de bois et ouvrages en bois",4.0,0.0
2020,"Bois, charbons de bois et ouvrages en bois",5.2,0.1
2021,"Bois, charbons de bois et ouvrages en bois",5.4,0.1
2022,"Bois, charbons de bois et ouvrages en bois",7.9,0.2
2023,"Bois, charbons de bois et ouvrages en bois",10.2,0.5
2014,Produits minéraux,617.9,75.5
2015,Produits minéraux,548.3,23.5
2016,Produits minéraux,475.3,8.4
2017,Produits minéraux,636.2,8.4
2018,Produits minéraux,736.9,15.7
2019,Produits minéraux,766.1,16.7
2020,Produits minéraux,753.7,85.8
2021,Produits minéraux,879.3,118.3
2022,Produits minéraux,1432.3,107.1
2023,Produits minéraux,1568.2,81.3
2014,Produits des industries chimiques et connexes,228.2,4.3
2015,Produits des industries chimiques et connexes,247.5,9.0
2016,Produits des industries chimiques et connexes,302.5,14.0
2017,Produits des industries chimiques et connexes,263.5,4.4
2018,Produits des industries chimiques et connexes,318.1,12.5
2019,Produits des industries chimiques et connexes,278.0,8.0
2020,Produits des industries chimiques et connexes,311.2,8.5
2021,Produits des industries chimiques et connexes,304.8,7.7
2022,Produits des industries chimiques et connexes,431.3,11.3
2023,Produits des industries chimiques et connexes,411.5,10.5
2014,Matières plastiques et ouvrages en ces matières,62.9,2.8
2015,Matières plastiques et ouvrages en ces matières,59.5,1.7
2016,Matières plastiques et ouvrages en ces matières,73.6,4.9
2017,Matières plastiques et ouvrages en ces matières,75.0,2.9
2018,Matières plastiques et ouvrages en ces matières,94.4,2.4
2019,Matières plastiques et ouvrages en ces matières,89.8,2.6
2020,Matières plastiques et ouvrages en ces matières,89.3,0.9
2021,Matières plastiques et ouvrages en ces matières,104.8,2.3
2022,Matières plastiques et ouvrages en ces matières,117.9,2.8
2023,Matières plastiques et ouvrages en ces matières,98.7,1.2
2014,"Peaux, cuirs, pelleteries et ouvrages en ces matières",1.2,1.2
2015,"Peaux, cuirs, pelleteries et ouvrages en ces matières",0.9,0.3
2016,"Peaux, cuirs, pelleteries et ouvrages en ces matières",1.2,1.3
2017,"Peaux, cuirs, pelleteries et ouvrages en ces matières",0.8,0.0
2018,"Peaux, cuirs, pelleteries et ouvrages en ces matières",3.0,0.2
2019,"Peaux, cuirs, pelleteries et ouvrages en ces matières",1.7,0.1
2020,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2.6,0.0
2021,"Peaux, cuirs, pelleteries et ouvrages en ces matières",3.8,0.1
2022,"Peaux, cuirs, pelleteries et ouvrages en ces matières",5.5,0.5
2023,"Peaux, cuirs, pelleteries et ouvrages en ces matières",5.1,1.1
2014,Pâtes de bois ou d'autres matières fibreuses cellulosiques,23.8,0.2
2015,Pâtes de bois ou d'autres matières fibreuses cellulosiques,23.9,0.8
2016,Pâtes de bois ou d'autres matières fibreuses cellulosiques,27.4,0.2
2017,Pâtes de bois ou d'autres matières fibreuses cellulosiques,26.8,0.1
2018,Pâtes de bois ou d'autres matières fibreuses cellulosiques,30.8,0.2
2019,Pâtes de bois ou d'autres matières fibreuses cellulosiques,29.3,0.1
2020,Pâtes de bois ou d'autres matières fibreuses cellulosiques,30.4,0.2
2021,Pâtes de bois ou d'autres matières fibreuses cellulosiques,40.0,0.3
2022,Pâtes de bois ou d'autres matières fibreuses cellulosiques,49.4,1.8
2023,Pâtes de bois ou d'autres matières fibreuses cellulosiques,36.3,0.4
2014,Matières textiles et ouvrages en ces matières,30.4,233.6
2015,Matières textiles et ouvrages en ces matières,24.9,179.8
2016,Matières textiles et ouvrages en ces matières,61.7,255.5
2017,Matières textiles et ouvrages en ces matières,34.8,217.4
2018,Matières textiles et ouvrages en ces matières,31.0,180.1
2019,Matières textiles et ouvrages en ces matières,51.8,209.1
2020,Matières textiles et ouvrages en ces matières,50.1,153.9
2021,Matières textiles et ouvrages en ces matières,47.7,255.2
2022,Matières textiles et ouvrages en ces matières,58.4,299.5
2023,Matières textiles et ouvrages en ces matières,39.1,158.8
2014,"Chaussures, coiffures, parapluie, cannes, etc.",7.5,0.1
2015,"Chaussures, coiffures, parapluie, cannes, etc.",3.8,0.1
2016,"Chaussures, coiffures, parapluie, cannes, etc.",8.3,0.0
2017,"Chaussures, coiffures, parapluie, cannes, etc.",5.8,0.0
2018,"Chaussures, coiffures, parapluie, cannes, etc.",6.6,0.0
2019,"Chaussures, coiffures, parapluie, cannes, etc.",5.9,0.0
2020,"Chaussures, coiffures, parapluie, cannes, etc.",5.3,0.0
2021,"Chaussures, coiffures, parapluie, cannes, etc.",7.2,0.1
2022,"Chaussures, coiffures, parapluie, cannes, etc.",7.3,0.1
2023,"Chaussures, coiffures, parapluie, cannes, etc.",8.3,0.1
2014,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",15.7,0.8
2015,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",13.7,0.4
2016,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",14.0,0.1
2017,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",16.7,0.3
2018,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",17.5,0.2
2019,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",22.5,0.1
2020,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",25.7,0.0
2021,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",29.0,0.0
2022,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",35.9,0.2
