year,sector,imports,exports
2014,TOTAL,4453.7,1307.8
2015,TOTAL,4994.3,1271.7
2016,TOTAL,5474.3,2262.7
2017,TOTAL,6153.0,1245.3
2018,TOTAL,6363.7,1098.4
2019,TOTAL,5882.0,1231.4
2020,TOTAL,7089.5,1536.0
2021,TOTAL,7532.8,1697.7
2022,TOTAL,8088.3,2197.3
2023,TOTAL,9251.4,2033.3
2014,Animaux vivants et produits du règne animal,89.8,10.8
2015,Animaux vivants et produits du règne animal,101.4,26.9
2016,Animaux vivants et produits du règne animal,94.7,4.0
2017,Animaux vivants et produits du règne animal,117.9,3.2
2018,Animaux vivants et produits du règne animal,132.9,3.8
2019,Animaux vivants et produits du règne animal,150.5,1.8
2020,Animaux vivants et produits du règne animal,175.0,1.3
2021,Animaux vivants et produits du règne animal,192.0,1.6
2022,Animaux vivants et produits du règne animal,195.7,2.9
2023,Animaux vivants et produits du règne animal,198.1,3.9
2014,Produit du règne végétal,596.9,552.4
2015,Produit du règne végétal,711.8,597.0
2016,Produit du règne végétal,782.4,1479.2
2017,Produit du règne végétal,855.6,629.7
2018,Produit du règne végétal,997.8,478.5
2019,Produit du règne végétal,895.5,417.9
2020,Produit du règne végétal,872.3,497.0
2021,Produit du règne végétal,721.2,396.8
2022,Produit du règne végétal,1180.6,403.4
2023,Produit du règne végétal,1305.7,474.4
2014,Graisses et huiles animales ou végétales,79.4,16.2
2015,Graisses et huiles animales ou végétales,101.3,14.4
2016,Graisses et huiles animales ou végétales,78.6,17.5
2017,Graisses et huiles animales ou végétales,69.7,17.7
2018,Graisses et huiles animales ou végétales,101.6,24.7
2019,Graisses et huiles animales ou végétales,40.0,23.3
2020,Graisses et huiles animales ou végétales,37.3,25.8
2021,Graisses et huiles animales ou végétales,32.3,24.5
2022,Graisses et huiles animales ou végétales,58.1,26.2
2023,Graisses et huiles animales ou végétales,185.1,18.3
2014,"Produits des industries alimentaires : boissons, alcool, etc.",256.2,49.7
2015,"Produits des industries alimentaires : boissons, alcool, etc.",295.4,45.2
2016,"Produits des industries alimentaires : boissons, alcool, etc.",276.8,156.1
2017,"Produits des industries alimentaires : boissons, alcool, etc.",266.8,78.3
2018,"Produits des industries alimentaires : boissons, alcool, etc.",300.7,76.0
2019,"Produits des industries alimentaires : boissons, alcool, etc.",209.5,49.0
2020,"Produits des industries alimentaires : boissons, alcool, etc.",272.2,71.0
2021,"Produits des industries alimentaires : boissons, alcool, etc.",312.0,72.8
2022,"Produits des industries alimentaires : boissons, alcool, etc.",396.9,85.8
2023,"Produits des industries alimentaires : boissons, alcool, etc.",535.8,117.8
2014,"Bois, charbons de bois et ouvrages en bois",69.5,0.1
2015,"Bois, charbons de bois et ouvrages en bois",69.1,1.4
2016,"Bois, charbons de bois et ouvrages en bois",47.5,5.2
2017,"Bois, charbons de bois et ouvrages en bois",31.5,0.7
2018,"Bois, charbons de bois et ouvrages en bois",42.0,0.3
2019,"Bois, charbons de bois et ouvrages en bois",35.2,0.0
2020,"Bois, charbons de bois et ouvrages en bois",42.5,1.2
2021,"Bois, charbons de bois et ouvrages en bois",42.9,0.5
2022,"Bois, charbons de bois et ouvrages en bois",63.7,0.2
2023,"Bois, charbons de bois et ouvrages en bois",66.4,4.2
2014,Produits minéraux,2158.5,151.4
2015,Produits minéraux,2522.0,131.7
2016,Produits minéraux,2745.2,55.9
2017,Produits minéraux,3262.9,36.4
2018,Produits minéraux,3190.6,55.6
2019,Produits minéraux,2945.9,226.4
2020,Produits minéraux,3840.7,652.0
2021,Produits minéraux,4416.5,865.1
2022,Produits minéraux,4258.1,1290.3
2023,Produits minéraux,5026.8,1180.8
2014,Produits des industries chimiques et connexes,344.2,5.4
2015,Produits des industries chimiques et connexes,360.8,5.0
2016,Produits des industries chimiques et connexes,454.3,6.9
2017,Produits des industries chimiques et connexes,430.2,8.6
2018,Produits des industries chimiques et connexes,469.2,10.9
2019,Produits des industries chimiques et connexes,381.9,15.8
2020,Produits des industries chimiques et connexes,502.7,16.4
2021,Produits des industries chimiques et connexes,443.7,18.2
2022,Produits des industries chimiques et connexes,523.8,25.9
2023,Produits des industries chimiques et connexes,594.9,13.1
2014,Matières plastiques et ouvrages en ces matières,63.9,1.6
2015,Matières plastiques et ouvrages en ces matières,64.5,2.7
2016,Matières plastiques et ouvrages en ces matières,74.1,3.8
2017,Matières plastiques et ouvrages en ces matières,78.6,3.2
