SH,LIBELLES,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ensemble,TOTAL,3056.1,3126.4,3483.8,3979.1,4259.1,4406.3,4923.6,5418.6,6364.8,6286.9
I,Animaux vivants et produits du règne animal,24.5,21.9,19.8,22.099999999999998,25.3,26.700000000000003,28.5,30.5,36.9,48.9
II,Produit du règne végétal,226.1,300.9,292.4,333.5,382.7,286.79999999999995,262.1,269.6,393.2,366.6
III,Graisses et huiles animales ou végétales,23.9,25.400000000000002,35.1,30.799999999999997,34.9,35.5,35.5,30.3,35.9,44.5
IV,"Produits des industries alimentaires : boissons, alcool, etc.",106.7,118.5,121.6,125.10000000000001,124.0,114.8,130.4,169.6,172.5,183.1
IX,"Bois, charbons de bois et ouvrages en bois",4.7,4.6,4.7,4.6,4.1,4.0,5.3,5.5,8.1,10.7
V,Produits minéraux,693.4,571.8,483.7,644.6,752.6,782.8000000000001,839.5,997.5999999999999,1539.3999999999999,1649.5
VI,Produits des industries chimiques et connexes,232.5,256.5,316.5,267.9,330.6,286.0,319.7,312.5,442.6,422.0
VII,Matières plastiques et ouvrages en ces matières,65.7,61.2,78.5,77.9,96.80000000000001,92.39999999999999,90.2,107.1,120.7,99.9
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2.4,1.2,2.5,0.8,3.2,1.8,2.6,3.9,6.0,6.199999999999999
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,24.0,24.7,27.599999999999998,26.900000000000002,31.0,29.400000000000002,30.599999999999998,40.3,51.199999999999996,36.699999999999996
XI,Matières textiles et ouvrages en ces matières,264.0,204.70000000000002,317.2,252.2,211.1,260.9,204.0,302.9,357.9,197.9
XII,"Chaussures, coiffures, parapluie, cannes, etc.",7.6,3.9,8.3,5.8,6.6,5.9,5.3,7.3,7.3999999999999995,8.4
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",16.5,14.1,14.1,17.0,17.7,22.6,25.7,29.0,36.1,37.0
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",722.8,795.8,922.4000000000001,1088.7,1192.8000000000002,1331.1000000000001,2054.9,2176.6,2103.2000000000003,2134.5
XIX,"Armes, munitions et leurs parties et accessoires",2.2,2.4,4.8,3.5,7.1000000000000005,2.7,2.1,1.8,0.9,1.5
XV,Métaux communs et ouvrages en ces métaux,208.2,184.1,230.89999999999998,288.5,309.9,303.9,195.5,224.5,318.6,261.4
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",244.5,294.3,382.7,521.4,448.0,486.59999999999997,426.7,420.7,458.1,478.5
XVII,Matériel de transport,150.4,202.0,175.10000000000002,220.4,225.3,284.3,200.20000000000002,225.6,208.5,220.1
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",16.5,21.0,21.7,22.7,28.400000000000002,26.6,41.1,31.7,38.3,31.400000000000002
XX,Marchandises et produits divers,19.3,17.400000000000002,23.599999999999998,22.8,26.599999999999998,21.4,23.1,31.6,29.3,29.9
XXI,"Objets d'art, de collection ou d'antiquité",0.2,0.3,0.2,0.3,0.4,0.3,0.2,0.2,0.2,0.2
,,,,,,,,,,,
