SH,LIBELLES,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ensemble,TOTAL,5761.5,6266.0,7737.0,7398.3,7462.1,7113.4,8625.5,9230.5,10285.6,11284.699999999999
I,Animaux vivants et produits du règne animal,100.6,128.3,98.7,121.10000000000001,136.70000000000002,152.3,176.3,193.6,198.6,202.0
II,Produit du règne végétal,1149.3,1308.8,2261.6,1485.3000000000002,1476.3,1313.4,1369.3,1118.0,1584.0,1780.1
III,Graisses et huiles animales ou végétales,95.60000000000001,115.7,96.1,87.4,126.3,63.3,63.099999999999994,56.8,84.3,203.4
IV,"Produits des industries alimentaires : boissons, alcool, etc.",305.9,340.59999999999997,432.9,345.1,376.7,258.5,343.2,384.8,482.7,653.5999999999999
IX,"Bois, charbons de bois et ouvrages en bois",69.6,70.5,52.7,32.2,42.3,35.2,43.7,43.4,63.900000000000006,70.60000000000001
V,Produits minéraux,2309.9,2653.7,2801.1,3299.3,3246.2,3172.3,4492.7,5281.6,5548.400000000001,6207.6
VI,Produits des industries chimiques et connexes,349.59999999999997,365.8,461.2,438.8,480.09999999999997,397.7,519.1,461.9,549.6999999999999,608.0
VII,Matières plastiques et ouvrages en ces matières,65.5,67.2,77.89999999999999,81.8,100.2,101.5,120.1,124.5,144.70000000000002,143.70000000000002
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",3.0,3.5,3.5,3.2,4.8999999999999995,7.3,10.2,14.9,21.599999999999998,18.3
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,30.8,28.5,33.400000000000006,33.2,38.199999999999996,41.2,46.7,53.4,51.1,42.400000000000006
XI,Matières textiles et ouvrages en ces matières,346.3,318.8,425.8,384.2,316.6,354.2,308.1,398.1,383.4,239.0
XII,"Chaussures, coiffures, parapluie, cannes, etc.",23.8,21.400000000000002,69.0,27.4,26.099999999999998,28.1,26.7,31.4,28.2,33.5
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",85.3,84.7,82.5,102.2,116.69999999999999,156.0,155.89999999999998,167.5,186.6,188.0
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2.1,1.7,1.1,1.8,1.4000000000000001,1.1,1.8,2.1,2.8000000000000003,2.6
XIX,"Armes, munitions et leurs parties et accessoires",0.4,0.5,0.5,0.3,0.4,0.3,0.4,0.2,0.0,0.4
XV,Métaux communs et ouvrages en ces métaux,575.8,493.9,586.8,569.5,584.1,649.0999999999999,498.4,464.4,538.2,490.8
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",89.2,90.6,119.3,163.7,161.0,177.5,226.39999999999998,167.70000000000002,158.70000000000002,164.3
XVII,Matériel de transport,132.9,148.9,141.7,182.3,186.0,171.5,184.79999999999998,225.2,207.8,180.7
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2.6,2.1,2.7,3.9,3.3,3.5,5.2,3.2,3.6,3.2
XX,Marchandises et produits divers,23.3,21.099999999999998,27.1,35.6,38.8,28.8,33.0,37.8,46.9,53.1
XXI,"Objets d'art, de collection ou d'antiquité",0.1,0.1,0.1,0.1,0.2,0.4,0.2,0.2,0.0,0.1
