SH,secteur,production_mds_fcfa,imports_mds_fcfa,exports_mds_fcfa,ratio_production_imports,taux_couverture,intensite_export,croissance_production_pct,taux_autosuffisance,score_substitution,classification,priorite,recommandation
XI,Matières textiles et ouvrages en ces matières,412.5,68.4,344.1,6.030701754385964,503.0701754385965,83.41818181818182,108.43860535624052,301.5350877192984,100,Fort potentiel - Secteur dominant,Haute,Investir massivement dans Matières textiles et ouvrages en ces matières. Fort potentiel de substitution aux importations.
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2458.5,1.0,2457.5,2458.5,245750.0,99.95932479153956,15.1791988756149,122925.0,95,Fort potentiel - Secteur dominant,Haute,"Investir massivement dans Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies. Fort potentiel de substitution aux importations."
II,Produit du règne végétal,392.5,188.5,204.0,2.082228116710876,108.22281167108754,51.97452229299363,7.064920894708123,104.11140583554376,90,Fort potentiel - Secteur dominant,Haute,Investir massivement dans Produit du règne végétal. Fort potentiel de substitution aux importations.
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2458.5,1.0,2457.5,2458.5,245750.0,99.95932479153956,0.0,122925.0,80,Fort potentiel - Secteur dominant,Haute,"Investir massivement dans Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies. Fort potentiel de substitution aux importations."
XI,Matières textiles et ouvrages en ces matières,412.5,68.4,344.1,6.030701754385964,503.0701754385965,83.41818181818182,0.0,301.53508771929836,80,Fort potentiel - Secteur dominant,Haute,Investir massivement dans Matières textiles et ouvrages en ces matières. Fort potentiel de substitution aux importations.
II,Produit du règne végétal,392.5,188.5,204.0,2.0822281167108754,108.22281167108754,51.97452229299363,0.0,104.11140583554376,80,Fort potentiel - Secteur dominant,Haute,Investir massivement dans Produit du règne végétal. Fort potentiel de substitution aux importations.
III,Graisses et huiles animales ou végétales,52.5,32.4,20.1,1.6203703703703705,62.037037037037045,38.28571428571429,17.97752808988764,81.0185185185185,75,Fort potentiel - Secteur dominant,Haute,Investir massivement dans Graisses et huiles animales ou végétales. Fort potentiel de substitution aux importations.
IX,"Bois, charbons de bois et ouvrages en bois",13.5,12.8,0.7,1.0546875,5.468749999999999,5.185185185185185,26.16822429906543,52.734375,65,Potentiel modéré - Équilibré,Moyenne,"Analyser les opportunites dans Bois, charbons de bois et ouvrages en bois. Potentiel modere necessite etude approfondie."
XIX,"Armes, munitions et leurs parties et accessoires",2.1,1.9,0.2,1.105263157894737,10.526315789473683,9.523809523809524,40.00000000000001,55.26315789473685,65,Potentiel modéré - Équilibré,Moyenne,"Analyser les opportunites dans Armes, munitions et leurs parties et accessoires. Potentiel modere necessite etude approfondie."
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",45.8,41.5,4.3,1.1036144578313252,10.36144578313253,9.388646288209609,638.7096774193548,55.18072289156626,65,Potentiel modéré - Équilibré,Moyenne,"Analyser les opportunites dans Peaux, cuirs, pelleteries et ouvrages en ces matières. Potentiel modere necessite etude approfondie."
